Temporada,Jornada,Equipo,LoV,Minutos,Puntos,T1,%T1,T2,%T2,T3,%T3,T,Valoración,Puntos_1C,Puntos_2C,Puntos_3C,Puntos_4C,Puntos_PR
2013,1,IBT,L,100:00,76,19/25,76%,12/30,40%,11/21,52%,29,87,,,,, 
2013,1,MOB,V,100:00,74,17/23,74%,15/36,42%,9/22,41%,39,70,,,,, 
2013,1,BLB,L,100:00,77,14/20,70%,24/46,52%,5/12,42%,32,89,,,,, 
2013,1,CAI,V,100:00,86,6/10,60%,25/39,64%,10/23,43%,29,95,,,,, 
2013,1,UNI,L,100:00,97,16/23,70%,30/49,61%,7/23,30%,43,115,,,,, 
2013,1,EST,V,100:00,78,11/11,100%,17/45,38%,11/24,46%,36,76,,,,, 
2013,1,BAS,L,100:00,96,21/27,78%,24/42,57%,9/20,45%,30,98,,,,, 
2013,1,HGC,V,100:00,99,33/35,94%,21/45,47%,8/25,32%,41,119,,,,, 
2013,1,MAN,L,100:00,90,17/19,89%,20/31,65%,11/28,39%,35,114,,,,, 
2013,1,CJB,V,100:00,78,13/22,59%,19/49,39%,9/24,38%,41,62,,,,, 
2013,1,UCM,L,100:00,93,9/11,82%,21/46,46%,14/25,56%,41,106,,,,, 
2013,1,FUE,V,100:00,73,22/26,85%,15/35,43%,7/20,35%,27,70,,,,, 
2013,1,FCB,L,100:00,76,6/13,46%,17/29,59%,12/34,35%,39,86,,,,, 
2013,1,VBC,V,100:00,75,18/25,72%,18/39,46%,7/18,39%,30,74,,,,, 
2013,1,GBC,L,100:00,76,16/20,80%,18/37,49%,8/26,31%,34,84,,,,, 
2013,1,CAJ,V,100:00,71,13/17,76%,23/48,48%,4/19,21%,44,68,,,,, 
2013,1,RMB,L,100:00,87,13/17,76%,25/41,61%,8/27,30%,48,128,,,,, 
2013,1,VAL,V,100:00,53,2/6,33%,15/38,39%,7/24,29%,27,18,,,,, 
2013,2,EST,L,100:00,80,9/11,82%,28/46,61%,5/19,26%,34,91,,,,, 
2013,2,VAL,V,100:00,66,6/9,67%,21/43,49%,6/16,38%,31,55,,,,, 
2013,2,VBC,L,100:00,87,16/18,89%,22/46,48%,9/20,45%,42,110,,,,, 
2013,2,GBC,V,100:00,58,13/13,100%,15/35,43%,5/22,23%,25,47,,,,, 
2013,2,MOB,L,100:00,71,10/13,77%,23/46,50%,5/23,22%,36,78,,,,, 
2013,2,MAN,V,100:00,88,10/13,77%,21/38,55%,12/26,46%,38,93,,,,, 
2013,2,FUE,L,100:00,75,16/23,70%,13/31,42%,11/25,44%,30,83,,,,, 
2013,2,BLB,V,100:00,72,10/14,71%,22/35,63%,6/19,32%,29,67,,,,, 
2013,2,CAJ,L,100:00,65,12/22,55%,19/33,58%,5/19,26%,34,71,,,,, 
2013,2,UNI,V,100:00,85,14/23,61%,28/47,60%,5/16,31%,36,90,,,,, 
2013,2,CJB,L,100:00,80,18/28,64%,16/32,50%,10/33,30%,35,79,,,,, 
2013,2,FCB,V,100:00,83,14/17,82%,27/43,63%,5/16,31%,31,87,,,,, 
2013,2,RMB,L,100:00,105,15/20,75%,27/45,60%,12/28,43%,35,133,,,,, 
2013,2,BAS,V,100:00,72,15/18,83%,21/36,58%,5/18,28%,25,61,,,,, 
